name,state,state_conf
hCoV-19/Beijing/Wuhan_IME-BJ05/2020|EPI_ISL_424359|2020-01-27,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH3-190/2020|EPI_ISL_455384|2020-03-16,NON_GA,"[0.0, 1.0]"
hCoV-19/Guangdong/2020XN4373-P0039/2020|EPI_ISL_413851|2020-01-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZCDC0090/2020|EPI_ISL_421230|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Spain/AN-IBV-002003/2020|EPI_ISL_452396|2020-03-14,NON_GA,"[0.0, 1.0]"
hCoV-19/Malaysia/MKAK-CL-2020-5047/2020|EPI_ISL_416866|2020-01-24,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Qatar/QA13/2020|EPI_ISL_427408|2020-03-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH4-208/2020|EPI_ISL_454957|2020-03-19,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Indonesia/JI-ITD-853Sp/2020|EPI_ISL_437187|2020-03-25,NON_GA,"[0.0, 1.0]"
hCoV-19/Shandong/2020C1240203/2020|EPI_ISL_962873|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Sichuan/SC-MY-055/2020|EPI_ISL_451321|2020-02-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Indonesia/JI-ITD-136N/2020|EPI_ISL_529961|2020-03-12,NON_GA,"[0.0, 1.0]"
hCoV-19/Sichuan/SC-WCH4-291/2020|EPI_ISL_451393|2020-02-15,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH4-195/2020|EPI_ISL_454949|2020-03-22,NON_GA,"[0.0, 1.0]"
NODE_0000974,NON_GA,"[0.00889829867145788, 0.9911017013285421]"
hCoV-19/England/NORT-284794/2020|EPI_ISL_488510|2020-03-23,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/England/20139044504/2020|EPI_ISL_420683|2020-03-28,NON_GA,"[0.0, 1.0]"
NODE_0000964,NON_GA,"[0.008889722956874357, 0.9911102770431256]"
hCoV-19/Indonesia/JK-EIJK-0317/2020|EPI_ISL_435282|2020-03-19,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Indonesia/JI-ITD-1238Sp/2020|EPI_ISL_458079|2020-03-30,NON_GA,"[0.0, 1.0]"
NODE_0000948,NON_GA,"[0.008429650115406426, 0.9915703498845935]"
hCoV-19/Wuhan/HB-WH2-151/2020|EPI_ISL_455372|2020-03-03,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH2-159/2020|EPI_ISL_454927|2020-02-28,NON_GA,"[0.0, 1.0]"
NODE_0000933,NON_GA,"[0.004276767871388587, 0.9957232321286115]"
hCoV-19/Guangzhou/GZMU0014/2020|EPI_ISL_414692|2020-02-25,NON_GA,"[0.0, 1.0]"
hCoV-19/Shanghai/SH0039/2020|EPI_ISL_416348|2020-02-06,NON_GA,"[0.0, 1.0]"
NODE_0000931,NON_GA,"[0.0061227300468914905, 0.9938772699531085]"
hCoV-19/Northern_Ireland/NIRE-101FE3/2020|EPI_ISL_441364|2020-03-23,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Northern_Ireland/NIRE-FADA8/2020|EPI_ISL_448918|2020-03-26,NON_GA,"[0.0, 1.0]"
NODE_0000901,NON_GA,"[1.7420214316511602e-05, 0.9999825797856834]"
hCoV-19/Spain/AR-ISCIII-201785/2020|EPI_ISL_871980|2020-03-08,NON_GA,"[0.0, 1.0]"
hCoV-19/Spain/AR-ISCIII-201786/2020|EPI_ISL_871981|2020-03-08,NON_GA,"[0.0, 1.0]"
NODE_0000900,NON_GA,"[0.0018851205868375593, 0.9981148794131625]"
hCoV-19/Shanghai/SH0020/2020|EPI_ISL_416329|2020-02-01,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Wuhan/0125-A174/2020|EPI_ISL_493163|2020-01-25,NON_GA,"[0.0, 1.0]"
NODE_0000891,NON_GA,"[0.0018755675722447575, 0.9981244324277553]"
hCoV-19/Jingzhou/HBCDC-HB-01/2020|EPI_ISL_412459|2020-01-08,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH1-138/2020|EPI_ISL_454915|2020-02-24,NON_GA,"[0.0, 1.0]"
NODE_0000765,NON_GA,"[7.907162400603445e-06, 0.9999920928375994]"
hCoV-19/Wuhan/IVDC-HB-GX02/2019|EPI_ISL_434534|2019-12-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/IME-WH03/2019|EPI_ISL_529215|2019-12-30,NON_GA,"[0.0, 1.0]"
NODE_0004616,NON_GA,"[0.006565858304603471, 0.9934341416953965]"
hCoV-19/England/CAMB-72616/2020|EPI_ISL_439533|2020-03-23,NON_GA,"[0.0, 1.0]"
hCoV-19/England/CAMB-759DE/2020|EPI_ISL_438489|2020-03-31,NON_GA,"[0.0, 1.0]"
NODE_0004612,NON_GA,"[0.0008412723911200489, 0.99915872760888]"
hCoV-19/Japan/PG-0081/2020|EPI_ISL_479832|2020-03-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Japan/PG-0167/2020|EPI_ISL_479877|2020-03-12,NON_GA,"[0.0, 1.0]"
NODE_0004605,NON_GA,"[4.581840784335024e-05, 0.9999541815921568]"
hCoV-19/Wuhan/HB-WH1-131/2020|EPI_ISL_454910|2020-03-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH1-136/2020|EPI_ISL_454913|2020-03-03,NON_GA,"[0.0, 1.0]"
NODE_0004603,NON_GA,"[0.0028908561632801913, 0.9971091438367199]"
hCoV-19/Hangzhou/HZCDC6706/2020|EPI_ISL_421222|2020-03-14,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZCDC6111/2020|EPI_ISL_482575|2020-03-05,NON_GA,"[0.0, 1.0]"
NODE_0004600,NON_GA,"[0.004792138008691256, 0.9952078619913087]"
hCoV-19/Guangdong/20SF822/2020|EPI_ISL_428477|2020-01-28,NON_GA,"[0.0, 1.0]"
hCoV-19/Italy/VEN-SR-122-B/2020|EPI_ISL_1064052|2020-03-06,NON_GA,"[0.0, 1.0]"
NODE_0004596,NON_GA,"[0.0036155056945446347, 0.9963844943054553]"
hCoV-19/Guangdong/20SF1159/2020|EPI_ISL_428446|2020-01-31,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/80/2020|EPI_ISL_1069201|2020-01-30,NON_GA,"[0.0, 1.0]"
NODE_0004585,NON_GA,"[0.0055190151141936645, 0.9944809848858064]"
hCoV-19/Wuhan/HB-WH2-168/2020|EPI_ISL_454934|2020-02-11,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Sichuan/SC-WCH1-005/2020|EPI_ISL_451376|2020-01-28,NON_GA,"[0.0, 1.0]"
NODE_0004577,NON_GA,"[0.00037103347587750455, 0.9996289665241225]"
hCoV-19/Wuhan/HB-WH1-139/2020|EPI_ISL_455367|2020-02-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH5-224/2020|EPI_ISL_454969|2020-03-16,NON_GA,"[0.0, 1.0]"
NODE_0004571,NON_GA,"[0.008785472257216135, 0.991214527742784]"
hCoV-19/England/20110059306/2020|EPI_ISL_417312|2020-03-08,NON_GA,"[0.0, 1.0]"
hCoV-19/Pakistan/KHI1/2020|EPI_ISL_451958|2020-03-16,NON_GA,"[0.0, 1.0]"
NODE_0000959,NON_GA,"[0.0017617698720977144, 0.9982382301279021]"
hCoV-19/Shanghai/SH0083/2020|EPI_ISL_416384|2020-02-04,NON_GA,"[0.0, 1.0]"
hCoV-19/Shanghai/SH0044/2020|EPI_ISL_416353|2020-02-04,NON_GA,"[0.0, 1.0]"
hCoV-19/Shanghai/SH0077/2020|EPI_ISL_416380|2020-02-09,NON_GA,"[0.0, 1.0]"
NODE_0000962,NON_GA,"[0.0034435650097559773, 0.9965564349902439]"
hCoV-19/Shanghai/SH0060/2020|EPI_ISL_416367|2020-02-01,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Guangdong/GD2020080-P0010/2020|EPI_ISL_413861|2020-02-01,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Shanghai/SH01/2020|EPI_ISL_414510|2020-02-02,NON_GA,"[0.0, 1.0]"
NODE_0000925,NON_GA,"[0.000604626663343486, 0.9993953733366565]"
hCoV-19/Lu_an/98/2020|EPI_ISL_1069203|2020-01-31,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/195/2020|EPI_ISL_1069215|2020-02-03,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/425/2020|EPI_ISL_1081260|2020-02-08,NON_GA,"[0.0, 1.0]"
NODE_0000898,NON_GA,"[0.0012833515333534995, 0.9987166484666465]"
hCoV-19/Wuhan/0126-C94/2020|EPI_ISL_493180|2020-01-26,NON_GA,"[0.0, 1.0]"
hCoV-19/Spain/AN-ISCIII-201373/2020|EPI_ISL_418244|2020-03-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/0126-C100/2020|EPI_ISL_493182|2020-01-26,NON_GA,"[0.0, 1.0]"
NODE_0000888,NON_GA,"[0.00794386657885408, 0.992056133421146]"
hCoV-19/Wuhan/HB-WH3-187/2020|EPI_ISL_455382|2020-03-03,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH3-181/2020|EPI_ISL_454942|2020-03-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH1-134/2020|EPI_ISL_454911|2020-02-22,NON_GA,"[0.0, 1.0]"
