USA/GA-QDX-2442/2020	EPI_ISL_604777
USA/GA-QDX-2443/2020	EPI_ISL_604778
USA/GA-QDX-2461/2020	EPI_ISL_604779
USA/GA-QDX-2553/2020	EPI_ISL_604781
USA/GA-QDX-2571/2020	EPI_ISL_604931
USA/GA-QDX-53/2020	EPI_ISL_467849
USA/GA-QDX-577/2020	EPI_ISL_571288
USA/GA-QDX-578/2020	EPI_ISL_571289
USA/GA-QDX-579/2020	EPI_ISL_571290
USA/GA-QDX-580/2020	EPI_ISL_571291
USA/GA-QDX-582/2020	EPI_ISL_571293
USA/GA-QDX-594/2020	EPI_ISL_571295
USA/GA-QDX-597/2020	EPI_ISL_571296
USA/GA-UW-MAYO61/2020	EPI_ISL_500513
USA/GA-UW-MAYO63/2020	EPI_ISL_501074
USA/GA-UW-MAYO64/2020	EPI_ISL_500515
USA/GA_1320/2020	EPI_ISL_420786
USA/GA_1445/2020	EPI_ISL_420788
USA/GA_1847/2020	EPI_ISL_424859
USA/GA_2070/2020	EPI_ISL_426417
USA/GA_2118/2020	EPI_ISL_424861
USA/GA_2343/2020	EPI_ISL_424864
GA-EHC-009I	GA-EHC-009I
GA-EHC-023W	GA-EHC-023W
GA-EHC-030D	GA-EHC-030D
GA-EHC-032F	GA-EHC-032F
GA-EHC-033G	GA-EHC-033G
GA-EHC-035I	GA-EHC-035I
GA-EHC-037K	GA-EHC-037K
GA-EHC-038L	GA-EHC-038L
GA-EHC-040N	GA-EHC-040N
GA-EHC-042P	GA-EHC-042P
GA-EHC-043Q	GA-EHC-043Q
GA-EHC-044R	GA-EHC-044R
GA-EHC-048V	GA-EHC-048V
GA-EHC-051Y	GA-EHC-051Y
GA-EHC-052Z	GA-EHC-052Z
GA-EHC-053A	GA-EHC-053A
GA-EHC-054B	GA-EHC-054B
GA-EHC-060H	GA-EHC-060H
GA-EHC-086H	GA-EHC-086H
GA-EHC-087I	GA-EHC-087I
GA-EHC-097S	GA-EHC-097S
GA-EHC-108D	GA-EHC-108D
GA-EHC-111G	GA-EHC-111G
GA-EHC-113J	GA-EHC-113J
GA-EHC-022V	GA-EHC-022V
GA-EHC-047U	GA-EHC-047U
Beijing/IVDC-BJ-005/2020	EPI_ISL_408485
Guangdong/20SF115/2020	EPI_ISL_428443
Guangdong/20SF254/2020	EPI_ISL_428457
HongKong/HKPU1_2101/2020	EPI_ISL_417176
HongKong/HKU-001a/2020	EPI_ISL_434571
HongKong/VM20001061-2/2020	EPI_ISL_412028
Shanghai/SH0029/2020	EPI_ISL_416338
