USA/VA_NIDDL_2896/2020	EPI_ISL_491921
USA/TX-HMH0428/2020	EPI_ISL_435011
USA/TX-HMH0427/2020	EPI_ISL_435010
USA/CA-CSMC71/2020	EPI_ISL_475686
USA/TX-HMH0450/2020	EPI_ISL_435029
USA/UT-UPHL-03753/2020	EPI_ISL_575103
USA/TX-HMH-996/2020	EPI_ISL_545953
USA/TX-HMH-520/2020	EPI_ISL_544588
Scotland/CVR1499/2020	EPI_ISL_438829
Scotland/CVR1501/2020	EPI_ISL_448117
USA/MD-MDH-0026/2020	EPI_ISL_481272
USA/TX-HMH-457/2020	EPI_ISL_543724
USA/TX-HMH-464/2020	EPI_ISL_543776
USA/TX-HMH-751/2020	EPI_ISL_546810
USA/TX-HMH-749/2020	EPI_ISL_546797
USA/TX-HMH-519/2020	EPI_ISL_544585
Scotland/CVR1573/2020	EPI_ISL_438841
USA/PA-MGEL110/2020	EPI_ISL_454387
USA/FL-BPHL-0193/2020	EPI_ISL_480844
USA/TX-HMH-474/2020	EPI_ISL_544296
USA/VA_NIDDL_2929/2020	EPI_ISL_491923
USA/FL-BPHL-0617/2020	EPI_ISL_508821
Canada/QC-L00246066/2020	EPI_ISL_1241363
USA/GA-EHC-147S/2020	EPI_ISL_1278058
USA/TX-HMH-570/2020	EPI_ISL_546952
USA/GA-EHC-139K/2020	EPI_ISL_754769
USA/FL-BPHL-1854/2020	EPI_ISL_613934
USA/MD-HP00567/2020	EPI_ISL_511871
USA/MI-UM-2006S000954/2020	EPI_ISL_484769
USA/TX-HMH-1054/2020	EPI_ISL_542509
USA/TX-HMH-535/2020	EPI_ISL_544705
USA/FL-BPHL-1852/2020	EPI_ISL_613932
USA/MD-HP00549/2020	EPI_ISL_511869
USA/FL-BPHL-0115/2020	EPI_ISL_450849
USA/GA-EHC-143O/2020	EPI_ISL_1278055
USA/GA-EHC-144P/2020	EPI_ISL_1278056
USA/GA-EHC-145Q/2020	EPI_ISL_1278057
USA/TX-HMH-961/2020	EPI_ISL_545935
